Uttar Pradesh,Bihar,Kerela,Jharkhand,Karnataka,Andhra Pradesh,Telangana,Rajasthan,Pondicherry,Maharashtra,Delhi,West Bengal,Gujarat,Tamil Nadu,Assam,Madhya Pradesh,Haryana,Chhattisgarh,Uttarakhand
Neutral,Angry,Neutral,Neutral,Trust,Trust,Trust,Angry,Angry,Trust,Trust,Angry,Angry,Neutral,Neutral,Angry,Angry,Neutral,Trust
Trust,Neutral,Trust,,Trust,Neutral,Angry,Neutral,Trust,Trust,Neutral,,Angry,Neutral,,Neutral,,,
Trust,Trust,,,Trust,Neutral,Trust,Neutral,,Neutral,Trust,,,Neutral,,Neutral,,,
Trust,,,,Angry,Angry,Neutral,Angry,,Trust,Neutral,,,Trust,,,,,
Neutral,,,,Neutral,Trust,Trust,Angry,,Neutral,Trust,,,Trust,,,,,
Angry,,,,Neutral,Trust,Neutral,Angry,,Neutral,Neutral,,,Trust,,,,,
Trust,,,,Trust,Neutral,Trust,Trust,,Trust,Angry,,,Angry,,,,,
Trust,,,,,Trust,Trust,Trust,,Trust,Angry,,,Trust,,,,,
Angry,,,,,Trust,Neutral,Angry,,Neutral,Neutral,,,Neutral,,,,,
Trust,,,,,Neutral,Neutral,,,Neutral,,,,Neutral,,,,,
Trust,,,,,Neutral,Angry,,,,,,,,,,,,
Trust,,,,,Neutral,Neutral,,,,,,,,,,,,
Angry,,,,,Trust,Trust,,,,,,,,,,,,
Neutral,,,,,Angry,Angry,,,,,,,,,,,,
Trust,,,,,Trust,Angry,,,,,,,,,,,,
Trust,,,,,Trust,Trust,,,,,,,,,,,,
Neutral,,,,,Angry,,,,,,,,,,,,,
Neutral,,,,,Neutral,,,,,,,,,,,,,
Angry,,,,,Neutral,,,,,,,,,,,,,
Trust,,,,,,,,,,,,,,,,,,
Angry,,,,,,,,,,,,,,,,,,
Neutral,,,,,,,,,,,,,,,,,,
Neutral,,,,,,,,,,,,,,,,,,
Neutral,,,,,,,,,,,,,,,,,,
Trust,,,,,,,,,,,,,,,,,,
Neutral,,,,,,,,,,,,,,,,,,
Neutral,,,,,,,,,,,,,,,,,,
Trust,,,,,,,,,,,,,,,,,,
Trust,,,,,,,,,,,,,,,,,,
Trust,,,,,,,,,,,,,,,,,,
Trust,,,,,,,,,,,,,,,,,,
Neutral,,,,,,,,,,,,,,,,,,
Trust,,,,,,,,,,,,,,,,,,
Trust,,,,,,,,,,,,,,,,,,
Angry,,,,,,,,,,,,,,,,,,
Angry,,,,,,,,,,,,,,,,,,
